,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
,SZ300105,龙源技术,--,+10.18%,8.66,+0.80,8.65,8.66,62599202,520383880,500↓,+0.00%,+8.93%,+4.42,12.14%,-78.27,4466952900,4463995100,99.93%,--,--,+0.00%,--,--,--,--,--,28803060,33796142,0.852,--,无,无,0.72,1.44,,12157210,2.39,0.024,环保设备,环保设备,7.86,7.95,+1.15%,0.10%,8.68,7.77,+20.28%,+21.46%,+27.54%,+23.54%,11.58%,52200,642300,41401,--,11.91,--,515814420,515472870,12305421亿,-70.56%,3.62,1,-117.33,--,--,--,20100820,
,SZ002640,跨境通,--,+10.18%,3.14,+0.29,3.14,--,165957880,511929570,500↓,+0.00%,+6.44%,+1.94,10.72%,+100.00,4892249800,4861542700,99.37%,23409827,7455359,+0.00%,--,--,--,--,--,86636780,79321100,1.09,--,无,无,3.46,2.54,,187500000,7.60,0.102,互联网电商,互联网电商,2.85,2.95,+3.51%,0.12%,3.14,2.93,+6.44%,+0.64%,-13.97%,-30.68%,7.37%,7455359,0,54380,--,37.21,--,1558041300,1548262000,164665450亿,4145%,0.41,6,-169.52,--,--,--,20111208,
,SZ000016,*ST康佳A,--,+10.17%,2.60,+0.24,2.60,--,18561256,47264848,1000↓,+0.00%,+9.24%,+2.27,1.16%,+100.00,6260658100,4151143900,66.31%,13185234,5071244,+0.00%,--,--,--,--,--,10218606,8342650,1.22,--,无,无,0.34,0.82,,-155000000,,-0.408,冰洗,白色家电,2.36,2.38,+0.85%,0.01%,2.60,2.38,+3.17%,+7.44%,-10.34%,-47.69%,9.32%,5071244,0,3567,--,31.91,--,2407945400,1596593800,-247247740亿,-293.9%,-4.68,8,-94.52,--,--,--,19920327,
4,SH600257,大湖股份,--,+10.11%,4.90,+0.45,4.90,--,12890542,62644856,600↓,+0.00%,+2.94%,+0.90,2.68%,+100.00,2358062200,2358062200,100.00%,28534170,5823300,+0.00%,--,--,--,--,--,8804992,4085550,2.16,--,无,无,0.70,1.03,423.5,17500000,2.95,-0.006,医院,医疗服务,4.45,4.76,+6.97%,0.17%,4.90,4.67,+12.39%,+9.13%,-1.01%,-21.97%,5.17%,5823300,--,4864,+0.01,38.05,--,481237190,481237190,12405495亿,14.61%,1.66,4,-77.10,--,--,--,20000612,
4,SZ002303,美盈森,--,+10.11%,5.01,+0.46,5.01,--,152310120,756653880,300↓,+0.00%,+7.74%,+0.93,15.75%,+100.00,7671931700,4844074100,63.14%,28361354,5660949,+0.00%,--,--,--,--,--,82079835,70230285,1.17,--,无,无,2.23,1.89,31.71,61363438,1.71,0.040,包装,包装印刷,4.55,4.65,+2.20%,0.13%,5.01,4.62,+24.01%,+16.51%,+40.73%,+26.84%,8.57%,5660949,0,60515,--,19.24,--,1531323700,966881060,78608833亿,-23.64%,2.93,2,-270.72,--,--,--,20091103,
4,SZ000959,首钢股份,--,+10.06%,3.83,+0.35,3.83,--,56693528,209126940,3800↓,+0.00%,+10.06%,+4.06,0.76%,+100.00,29701525000,28539656000,96.09%,38618656,10083200,+0.00%,--,--,--,--,--,24179826,32513702,0.744,--,无,无,0.15,1.54,35.35,174069560,0.591,0.023,普钢,钢铁,3.48,3.48,+0.00%,0.00%,3.83,3.46,+12.32%,+6.98%,+14.33%,-21.19%,10.63%,10083200,0,27915,+0.85,32.65,--,7754967400,7451607400,194864370亿,-47.17%,6.48,5,-11.45,--,--,--,19991216,
4,SH600664,哈药股份,--,+10.05%,4.49,+0.41,4.49,--,111552313,494184340,400↓,+0.00%,+3.94%,+1.47,4.43%,+100.00,11308109300,11308109300,100.00%,440212740,98042927,+0.00%,--,--,--,--,--,55732208,55820105,0.998,--,无,有,1.28,0.68,36.50,408733200,1.93,0.060,化学制剂,化学制药,4.08,4.32,+5.88%,1.04%,4.49,4.32,+45.31%,+45.31%,+43.91%,+30.14%,4.17%,98042927,--,35004,+0.05,28.91,--,2518509900,2518509900,206432430亿,-24.33%,2.33,0,-5.06,--,--,--,19930629,
4,SZ002062,宏润建设,--,+10.04%,7.56,+0.69,7.56,--,38678071,288107060,27700↑,+0.00%,+9.72%,+1.62,3.44%,+100.00,9353767900,8502739300,90.90%,21526684,2847445,+0.00%,--,--,--,--,--,19890375,18787696,1.06,--,无,无,0.87,2.10,35.73,73743069,1.88,0.060,基础建设,建筑装饰,6.87,6.89,+0.29%,0.00%,7.56,6.89,+3.99%,+1.34%,-6.55%,-17.38%,9.75%,2847445,0,13944,--,26.03,--,1237270890,1124700960,90036971亿,-19.51%,4.02,13,-128.25,--,--,--,20060816,
4,SZ000566,海南海药,--,+10.04%,5.15,+0.47,5.15,--,108627086,538337020,500↓,+0.00%,+15.73%,+4.15,8.38%,+100.00,6681430400,6678188500,99.95%,90417520,17556800,+0.00%,--,--,--,--,--,62586932,46040154,1.36,--,无,有,3.38,0.44,,-185000000,1515,-0.059,化学制剂,化学制药,4.68,4.45,-4.91%,0.22%,5.15,4.41,-1.15%,-6.19%,+33.07%,-27.97%,15.81%,17556800,0,48069,--,56.65,--,1297365130,1296735630,-79846470亿,-11.83%,0.00,2,-282.32,--,--,--,19940525,
4,SZ002309,中利集团,--,+10.04%,2.74,+0.25,2.74,--,44155122,120831195,3000↓,+0.00%,+1.48%,+0.14,1.84%,+100.00,8241003200,6592802500,80.00%,59265592,21629778,+0.00%,--,--,--,--,--,36456772,7698350,4.74,--,无,无,1.32,0.41,231.1,120000000,4.40,0.010,线缆部件及其他,电网设备,2.49,2.70,+8.43%,0.15%,2.74,2.70,+10.48%,-1.44%,-17.22%,-19.17%,1.61%,21629778,0,10555,--,62.05,--,3007665400,2406132300,12654556亿,120.3%,0.62,2,-5.22,--,--,--,20091127,
,SH603839,安正时尚,--,+10.03%,6.47,+0.59,6.47,--,7748340,48893977,40300↑,+0.00%,+4.69%,+2.72,2.00%,+100.00,2503994800,2503994800,100.00%,26035668,4024060,+0.00%,--,--,--,--,--,4375990,3372350,1.30,--,无,无,0.27,2.07,,71500000,1.49,0.080,服装,服装家纺,5.88,6.18,+5.10%,0.02%,6.47,6.02,+11.55%,+8.74%,-0.15%,-20.81%,7.65%,4024060,--,9487,+0.01,41.60,--,387016200,387016200,31598611亿,31.86%,4.35,6,2.11,--,--,--,20170214,
,SZ000889,中嘉博创,--,+10.03%,3.29,+0.30,3.29,--,25839700,84952108,300↓,+0.00%,+0.61%,+0.08,2.97%,+100.00,3080397800,2861790500,92.90%,48085324,14615600,+0.00%,--,--,--,--,--,19762400,6077300,3.25,--,无,无,2.01,0.72,,124417200,44.34,-0.005,通信工程及服务,通信服务,2.99,3.27,+9.36%,0.32%,3.29,3.27,+8.58%,-3.80%,-12.73%,-8.61%,0.67%,14615600,0,5820,--,56.91,--,936291120,869845150,-4459429亿,22.06%,0.07,4,-61.25,--,--,--,19971218,
,SZ002900,哈三联,--,+10.03%,11.19,+1.02,11.19,--,11978417,130739618,1600↓,+0.00%,+11.23%,+2.71,7.43%,+100.00,3540007400,1802959700,50.93%,20578522,1839010,+0.00%,--,--,--,--,--,6246890,5731527,1.09,--,无,无,2.20,2.56,,-43000000,2.00,-0.020,化学制剂,化学制药,10.17,10.06,-1.08%,0.04%,11.19,10.00,+16.93%,+15.60%,+8.96%,-10.19%,11.70%,1839010,0,14663,--,61.66,--,316354550,161122400,-6888019亿,75.54%,5.58,2,-141.96,--,--,--,20170922,
,SH600721,百花医药,--,+10.03%,7.57,+0.69,7.57,--,23014811,171244390,100↓,+0.00%,+9.87%,+1.88,5.98%,+100.00,2911025600,2911025600,100.00%,25805373,3408900,+0.00%,--,--,--,--,--,12541700,10473111,1.20,--,无,有,1.39,2.43,109.4,6642725,3.60,0.017,医疗研发外包,医疗服务,6.88,6.89,+0.15%,0.06%,7.57,6.85,+13.15%,+10.83%,+2.85%,-37.95%,10.47%,3408900,--,14598,+0.01,46.05,--,384547640,384547640,7263418亿,-67.94%,2.10,3,-102.50,--,--,--,19960626,
